t,     mx,           my,            mz
3.5e-10, -0.83664774, -0.54388457, 0.064717231
3.52e-10, -0.8372379, -0.53088789, 0.13103107
3.54e-10, -0.83772615, -0.50999781, 0.1951813
3.56e-10, -0.83810552, -0.48155872, 0.25624047
3.58e-10, -0.83836919, -0.44602404, 0.31333482
3.6e-10, -0.83851053, -0.40394814, 0.3656573
3.62e-10, -0.83852307, -0.35597658, 0.41247934
3.64e-10, -0.83840063, -0.30283491, 0.45316119
3.66e-10, -0.83813733, -0.24531635, 0.48716071
3.68e-10, -0.83772769, -0.1842685, 0.51404033
3.7e-10, -0.83716676, -0.12057927, 0.53347224
3.72e-10, -0.83645021, -0.05516246, 0.54524165
3.74e-10, -0.8355745, 0.011056903, 0.54924803
3.76e-10, -0.83453707, 0.077157154, 0.54550446
3.78e-10, -0.83333652, 0.14223424, 0.53413497
3.8e-10, -0.8319728, 0.20541535, 0.51537006
3.82e-10, -0.83044738, 0.2658717, 0.48954045
3.84e-10, -0.82876343, 0.32283025, 0.45706911
3.86e-10, -0.82692588, 0.375584, 0.41846204
3.88e-10, -0.8249414, 0.42350082, 0.37429772
3.9e-10, -0.82281831, 0.46603061, 0.32521574
3.92e-10, -0.82056647, 0.50271053, 0.2719049
3.94e-10, -0.81819699, 0.53316847, 0.21509108
3.96e-10, -0.81572212, 0.55712481, 0.15552506
3.98e-10, -0.81315502, 0.57439236, 0.093970828
4e-10, -0.8105097, 0.58487483, 0.031194222
4.02e-10, -0.80780094, 0.58856401, -0.032047563
4.04e-10, -0.80504429, 0.58553567, -0.095015766
4.06e-10, -0.80225611, 0.57594447, -0.15699893
4.08e-10, -0.79945367, 0.56001809, -0.21732075
4.1e-10, -0.79665515, 0.53805064, -0.27534689
4.12e-10, -0.79387982, 0.51039553, -0.3304907
4.14e-10, -0.791148, 0.47745805, -0.38221782
4.16e-10, -0.78848123, 0.43968773, -0.43004967
4.18e-10, -0.78590226, 0.39757067, -0.47356588
4.2e-10, -0.78343513, 0.35162195, -0.5124056
4.22e-10, -0.78110531, 0.30237826, -0.54626784
4.24e-10, -0.7789396, 0.25039086, -0.57491097
4.26e-10, -0.77696634, 0.19621908, -0.59815117
4.28e-10, -0.77521533, 0.14042417, -0.61586028
4.3e-10, -0.77371777, 0.083563862, -0.62796305
4.32e-10, -0.7725063, 0.026187515, -0.63443347
4.34e-10, -0.77161473, -0.031168041, -0.63529099
4.36e-10, -0.77107777, -0.087981979, -0.63059594
4.38e-10, -0.77093046, -0.14375217, -0.62044503
4.4e-10, -0.77120706, -0.1979972, -0.60496666
4.42e-10, -0.77193986, -0.2502576, -0.58431599
4.44e-10, -0.77315696, -0.30009624, -0.55867078
4.46e-10, -0.77487953, -0.34709811, -0.52822763
4.48e-10, -0.77711804, -0.39086913, -0.49319995
4.5e-10, -0.77986764, -0.43103454, -0.45381796
